start,peak_date,peak_bps,calm_date,trailing_median_at_start
2018-11-13,2018-11-20,433.0,2018-11-29,348.0
2018-12-06,2018-12-10,456.0,2019-02-05,349.0
2018-12-18,2019-01-03,544.0,2019-02-05,349.0
2019-05-23,2019-06-03,470.0,2019-06-04,378.5
2020-02-24,2020-03-23,1087.0,2020-11-05,399.0
2020-04-27,2020-04-27,801.0,2020-11-04,405.5
2020-05-15,2020-05-15,778.0,2020-11-04,407.0
2020-06-23,2020-06-29,652.0,2020-11-04,409.5
2025-03-28,2025-04-07,461.0,2025-04-23,309.0
2025-04-30,2025-04-30,394.0,2025-05-01,309.0
